missing_strategy,n,n_missing_handled,events_7d,discrete_lr_auc,discrete_lr_sd,cox_c_index
median,655,7,35,0.5989400921658986,0.13072471346442868,0.7062279670975323
drop,648,7,28,0.5959247311827957,0.17532044031627572,0.7222953842101798
day_1,655,7,35,0.5989400921658986,0.13072471346442868,0.7061628569947649
day_7,655,7,35,0.5989400921658986,0.13072471346442868,0.7150360327348235
