feature_set,model,auc,ci_lo,ci_hi,brier,prauc,delong_p
postop_A,BalancedRF (baseline),0.6757619439868204,0.595262771721743,0.7599972289873755,0.2278946819301233,0.13689716426475035,
postop_A,Diverse stack (5 learners),0.6645730367929709,0.5855099336026103,0.7479217194297672,0.06651836360495997,0.13853583359175778,0.5892557369219769
postop_A,Diverse stack + isotonic,0.6478239978034047,0.5589225924818827,0.7317713675722903,0.06656837038291107,0.14468523371736308,0.2599400445201421
postop_B,BalancedRF (baseline),0.6583264689730917,0.5679492901729739,0.7509302410655342,0.22814953323283962,0.14234058771304917,
postop_B,Diverse stack (5 learners),0.6419892915980231,0.5537430723357496,0.7315717098900539,0.06691551311386906,0.12962111701958146,0.45948763475987997
postop_B,Diverse stack + isotonic,0.6190280065897859,0.5323565717744592,0.7064352424343813,0.06703213166191496,0.13302366420176687,0.12006205057452357
