cohort,set,n,events,auc_mean,auc_sd,ci_lo,ci_hi
1: paper (non_traumatic),Set_A,3297,300,0.7075280251035676,0.03637921169066999,0.6898886782124041,0.7537237002554062
1: paper (non_traumatic),Set_C,3297,300,0.7500543111976751,0.036033777765859545,0.7114920412841697,0.7743893610976778
2: non_traumatic + op,Set_A,317,27,0.6697701149425287,0.09997270292868517,0.5712398139430475,0.7853726179673322
2: non_traumatic + op,Set_C,317,27,0.5746743295019158,0.10133092099494434,0.4093290205198088,0.6555287398673545
3: apache dx surgery/burr,Set_A,527,41,0.6086532579813141,0.1312678658129753,0.515737545513291,0.7096180572966286
3: apache dx surgery/burr,Set_C,527,41,0.612722374173037,0.0920401587010087,0.510256510795479,0.7106865761313271
4: traumatic SDH (control),Set_A,1853,149,0.6712069309201417,0.04381321603864477,0.6398205734957153,0.7279699414658618
4: traumatic SDH (control),Set_C,1853,149,0.7251854288484532,0.0362743637507854,0.6807655828295315,0.7652824484219768
