cohort,set,n_hospitals,auc_median,auc_q1,auc_q3,auc_min,auc_max,auc_weighted_mean,auc_pooled_RE,auc_pooled_RE_lo,auc_pooled_RE_hi,tau2_logit,I2_pct,Q,Q_df,prauc_median,brier_median
full,Set_A,42.0,0.6638371039569217,0.5723856209150326,0.7227583741830066,0.2666666666666666,0.9247524752475248,0.6613276437350658,0.6420377104349306,0.6087019990681831,0.6740541957299684,0.0062215655015574745,2.810976431753674,42.185833846977296,41.0,0.2432996431367797,0.10633940319410945
full,Set_C,42.0,0.7124610095132898,0.6509615384615385,0.7959033613445378,0.4159021406727828,0.9801980198019802,0.7167089151287922,0.6837194875557281,0.651498332355653,0.7142681357972707,0.0,0.0,39.59668354721319,41.0,0.3303109302056403,0.0746724445054662
pure,Set_C,16.0,0.5675363376512802,0.5044191919191919,0.6568712760309127,0.3466666666666667,0.8353658536585366,0.6027970836289395,0.5756032819521054,0.5115573352265775,0.6372070669963057,0.0,0.0,11.770316853633311,15.0,0.11278136226129695,0.05104498536380675
