scenario,model,n,events,auc_mean,auc_sd,prauc_mean,brier_mean
S1: original collapsed,LR,2518,382,0.6173171119206731,0.028709189842512913,0.23746748966577394,0.23379658980559873
S1: original collapsed,RF,2518,382,0.6190238593943964,0.019905287923714734,0.22365240272930317,0.2131750213822227
S2: acute symptomatic,LR,2518,144,0.4982638904842493,0.049627679195166086,0.06733434387051326,0.2378220935093337
S2: acute symptomatic,RF,2518,144,0.49744797319940326,0.0531786513985134,0.07224961607280446,0.16523115529789414
"S3: acute, no pre-epi",LR,2279,143,0.510918909043835,0.05094766667266718,0.08442098938957147,0.23458065719171714
"S3: acute, no pre-epi",RF,2279,143,0.5013248869229068,0.03925876700312991,0.08299462284571991,0.16964708289460026
