cost_obs,qaly_obs,cost_aed,qaly_aed,cost_mla,qaly_mla,cost_mlg,qaly_mlg,dc_mla_obs,dq_mla_obs,dc_mla_aed,dq_mla_aed,dc_mlg_obs,dq_mlg_obs,dc_mlg_aed,dq_mlg_aed,dc_mlg_mla,dq_mlg_mla,dc_aed_obs,dq_aed_obs
8261.342885939157,6.608880363557921,4460.63211309093,6.662672402026302,4453.66205798859,6.658485413662021,5226.273241472096,6.672973460866401,-3807.6808279505667,0.0496050501041001,-6.970055102339757,-0.004186988364280886,-3035.069644467061,0.06409309730848012,765.6411283811658,0.010301058840099131,772.6111834835056,0.014488047204380017,-3800.710772848227,0.05379203846838099
5427.49366698859,6.248344640436269,5262.814289567372,6.261014397285274,4300.188912933177,6.261100146435384,5999.501753989515,6.26711352579878,-1127.3047540554135,0.012755505999114902,-962.6253766341952,8.574915010939321e-05,572.0080870009251,0.01876888536251098,736.6874644221434,0.00609912851350547,1699.3128410563386,0.006013379363396076,-164.6793774212183,0.012669756849005509
9678.108752255835,6.100210280021979,8249.41694258167,6.128383505167708,8270.417511457144,6.121778366312725,8852.15202208575,6.135970203107628,-1407.691240798691,0.021568086290746358,21.00056887547362,-0.006605138854983039,-825.9567301700863,0.03575992308564935,602.7350795040784,0.007586697939919951,581.7345106286048,0.01419183679490299,-1428.6918096741647,0.028173225145729397
10116.925547149502,6.347292030986098,7455.46952360661,6.3799490734021465,7362.064417161386,6.376570458928489,10572.62551501882,6.394191062936111,-2754.861129988116,0.02927842794239144,-93.40510644522419,-0.003378614473657393,455.69996786931915,0.046899031950013104,3117.155991412211,0.014241989533964272,3210.561097857435,0.017620604007621665,-2661.4560235428917,0.03265704241604883
8128.079992173354,6.5209722902345,8037.97388328951,6.544559590719296,6946.507150331507,6.54282507058122,7485.918204029764,6.551938517275468,-1181.5728418418475,0.02185278034671967,-1091.4667329580034,-0.0017345201380765118,-642.1617881435905,0.03096622704096763,-552.0556792597463,0.00737892655617145,539.4110536982571,0.009113446694247962,-90.10610888384417,0.02358730048479618
6276.303649848324,6.709678366765074,6118.9841012868965,6.724121551873885,5638.717831554744,6.721945704551643,6600.853320351482,6.7294289561635905,-637.5858182935799,0.012267337786568966,-480.26626973215207,-0.002175847322241964,324.54967050315736,0.019750589398516816,481.8692190645852,0.005307404289705886,962.1354887967373,0.00748325161194785,-157.31954856142784,0.01444318510881093
6040.769186331601,5.850793469152858,5386.119493220381,5.865290042364655,4534.182337077975,5.867535530715061,5316.416779613353,5.876444528312516,-1506.5868492536265,0.016742061562203148,-851.9371561424059,0.0022454883504066103,-724.352406718248,0.025651059159657486,-69.70271360702736,0.011154485947860948,782.2344425353785,0.008908997597454338,-654.6496931112206,0.014496573211796537
9038.875356061604,5.969844807855411,6401.278102766823,5.988102974472729,6029.722325020603,5.988041247512157,7216.219018383508,5.997534806711641,-3009.1530310410008,0.01819643965674622,-371.55577774622,-6.172696057138438e-05,-1822.656337678096,0.027689998856230247,814.9409156166848,0.00943183223891264,1186.4966933629048,0.009493559199484025,-2637.597253294781,0.018258166617317606
6313.071690894762,6.642479832622942,5124.013054314896,6.661369062800652,5285.588652201515,6.654809183605085,8583.032142642294,6.660555152524914,-1027.4830386932463,0.012329350982143161,161.5755978866191,-0.00655987919556722,2269.9604517475327,0.018075319901972087,3459.019088327398,-0.0008139102757382943,3297.443490440779,0.0057459689198289254,-1189.0586365798654,0.01888923017771038
5731.163751641418,5.506703522412678,6206.550319433275,5.5173698142359315,5735.083114033411,5.516578252541497,7986.258337362939,5.525237550951772,3.9193623919936726,0.009874730128818676,-471.4672053998638,-0.0007915616944345061,2255.094585721521,0.018534028539093583,1779.7080179296636,0.007867736715840401,2251.1752233295274,0.008659298410274907,475.3865677918575,0.010666291823253182
9629.548215820225,6.312770708013911,7890.465018435198,6.336448932884219,7230.422521373801,6.334490596789211,8009.966214644174,6.341653437122189,-2399.125694446424,0.021719888775299623,-660.0424970613967,-0.001958336095007951,-1619.5820011760507,0.02888272910827805,119.50119620897658,0.005204504237970475,779.5436932703733,0.007162840332978426,-1739.0831973850272,0.023678224870307574
8628.505137071248,7.01649090446508,9090.878060874878,7.029251054034559,7117.302867133096,7.029543846554274,4988.516370011906,7.039141671840978,-1511.2022699381523,0.013052942089194275,-1973.5751937417826,0.0002927925197147019,-3639.9887670593425,0.02265076737589844,-4102.361690862973,0.009890617806418867,-2128.78649712119,0.009597825286704165,462.37292380363033,0.012760149569479573
6954.657573470549,6.259896593835208,5548.2566485420875,6.273986762229399,5505.504647579161,6.270950656121519,5648.217553291008,6.277690740478931,-1449.152925891388,0.011054062286310895,-42.752000962926104,-0.0030361061078805207,-1306.4400201795415,0.017794146643723252,99.96090474892026,0.0037039782495318363,142.71290571184636,0.006740084357412357,-1406.4009249284618,0.014090168394191416
8786.254519419299,6.547115680422029,8638.412839128827,6.571894537797253,7777.118566253793,6.567634487340678,5860.438807743566,6.57626111757355,-1009.1359531655062,0.02051880691864927,-861.294272875034,-0.004260050456575293,-2925.815711675733,0.02914543715152096,-2777.974031385261,0.004366579776296398,-1916.6797585102267,0.00862663023287169,-147.84168029047214,0.02477885737522456
5006.39054088437,5.606430767089744,4436.812637627033,5.619891187369225,3480.4436086177743,5.621763994061984,6815.1537324683,5.628466306201227,-1525.946932266596,0.015333226972240155,-956.3690290092586,0.0018728066927593545,1808.7631915839302,0.022035539111482372,2378.3410948412675,0.008575118832001571,3334.710123850526,0.006702312139242217,-569.5779032573373,0.0134604202794808
7889.640149889499,6.439440413052376,4040.7579421712885,6.463856044370909,3917.900392656357,6.46155752764972,5713.534831792817,6.463712495410647,-3971.7397572331424,0.022117114597344667,-122.85754951493163,-0.002298516721189081,-2176.105318096682,0.024272082358271163,1672.7768896215289,-0.000143548960262585,1795.6344391364605,0.002154967760926496,-3848.882207718211,0.024415631318533748
6209.767737880562,6.712951798986706,5446.042752142268,6.730373347833323,4726.1633380494795,6.729333760225415,7301.507795244754,6.734350900052448,-1483.6043998310824,0.016381961238709053,-719.8794140927885,-0.0010395876079085653,1091.7400573641917,0.021399101065742165,1855.4650431024857,0.003977552219124547,2575.344457195274,0.0050171398270331125,-763.724985738294,0.01742154884661762
7605.507579679781,6.169309810800026,6646.021055382332,6.1934125498926225,6066.192724073022,6.191510225611052,5624.189280356987,6.199903257833548,-1539.314855606759,0.022200414811025304,-579.8283313093098,-0.0019023242815707775,-1981.3182993227938,0.030593447033521848,-1021.8317750253445,0.006490707940925766,-442.0034437160348,0.008393032222496544,-959.4865242974493,0.02410273909259608
7812.986077975353,6.648257829710717,6458.513109148721,6.692010740599259,5912.412444769169,6.687990842888705,6826.301497370611,6.703141054357764,-1900.5736332061833,0.03973301317798761,-546.1006643795517,-0.004019897710554332,-986.6845806047413,0.05488322464704698,367.7883882218903,0.01113031375850504,913.889052601442,0.015150211469059371,-1354.4729688266316,0.04375291088854194
9730.350826804346,6.22446306571989,7962.103567301947,6.247650270782022,8030.468718624411,6.242809121272013,8165.815396206469,6.2555023322113,-1699.8821081799351,0.018346055552123097,68.36515132246404,-0.004841149510008691,-1564.5354305978772,0.03103926649141009,203.711828904522,0.0078520614292783,135.34667758205796,0.012693210939286992,-1768.2472595023992,0.023187205062131788
8203.16057995992,6.584757908303999,6291.071520703845,6.592353503183069,6201.413813759405,6.592964303944779,6254.738010171543,6.599943053724175,-2001.7467662005156,0.008206395640780073,-89.65770694444018,0.0006108007617102729,-1948.4225697883776,0.015185145420176127,-36.33351053230217,0.007589550541106327,53.32419641213801,0.006978749779396054,-1912.0890592560754,0.0075955948790698
11914.69729709343,6.468358166221837,9808.72374633266,6.485056000997474,10132.117757639664,6.481171974409153,9545.887859464281,6.491993560935126,-1782.5795394537654,0.012813808187316589,323.3940113070039,-0.003884026588321099,-2368.8094376291483,0.023635394713289237,-262.835886868379,0.0069375599376515495,-586.2298981753829,0.010821586525972648,-2105.9735507607693,0.016697834775637688
15679.478983351397,6.893380495731556,13298.702630413181,6.904884467403861,13038.271738101896,6.905130873646952,11614.010224024718,6.9169028404751165,-2641.2072452495013,0.011750377915396015,-260.4308923112858,0.000246406243090469,-4065.468759326679,0.02352234474356063,-1684.6924063884635,0.012018373071255084,-1424.2615140771777,0.011771966828164615,-2380.7763529382155,0.011503971672305546
9601.608612854985,6.817462658552763,5469.129997164244,6.856925552262139,5657.5391065400745,6.853599281826021,6463.413268566339,6.86614536447751,-3944.0695063149105,0.03613662327325784,188.40910937583067,-0.00332627043611744,-3138.195344288646,0.04868270592474655,994.2832714020951,0.00921981221537127,805.8741620262645,0.01254608265148871,-4132.478615690741,0.03946289370937528
8518.442991368265,6.961203435388507,5973.270936109036,6.995373301941159,5581.106103843938,6.99510138652596,4786.236338018056,7.009808557760714,-2937.336887524327,0.033897951137452864,-392.1648322650972,-0.0002719154151993308,-3732.2066533502093,0.04860512237220682,-1187.0345980909797,0.014435255819554627,-794.8697658258825,0.014707171234753957,-2545.1720552592296,0.034169866552652195
9231.09156977791,6.509761299733739,8900.232317541064,6.521579574147377,8140.591382758141,6.522154680498813,7537.07707134686,6.533563865238938,-1090.5001870197684,0.012393380765074014,-759.6409347829231,0.0005751063514365384,-1694.014498431049,0.02380256550519899,-1363.1552461942038,0.011984291091561516,-603.5143114112807,0.011409184740124978,-330.85925223684535,0.011818274413637475
8637.059945126046,6.544497564122,7044.692764531129,6.553857534966607,6417.315134211343,6.554925839023221,8393.923939989503,6.561505442018099,-2219.7448109147026,0.010428274901221002,-627.3776303197856,0.0010683040566137336,-243.13600513654274,0.017007877896099366,1349.2311754583743,0.007647907051492098,1976.6088057781599,0.006579602994878364,-1592.367180594917,0.009359970844607268
7044.11228549378,6.841625276391754,6134.516293221707,6.855924025744221,6105.888772005057,6.852383095660659,7576.9981476693965,6.859029729418746,-938.2235134887233,0.010757819268904179,-28.627521216650166,-0.003540930083562266,532.8858621756162,0.017404453026991895,1442.4818544476893,0.0031057036745254507,1471.1093756643395,0.006646633758087717,-909.5959922720731,0.014298749352466444
