alpha,target_coverage,coverage_mean,coverage_sd,set_size_mean,singleton_rate,rule_out_rate,rule_in_rate,feature_set,base_model
0.05,0.95,0.9491094147582696,0.025648047162044076,1.6844783715012719,0.3155216284987278,0.26717557251908397,0.04834605597964377,postop_A,BalancedRF
0.1,0.9,0.902290076335878,0.04320008229965234,1.6264631043256996,0.37353689567430026,0.26717557251908397,0.10636132315521628,postop_A,BalancedRF
0.2,0.8,0.8025445292620866,0.050240117773778875,1.411704834605598,0.5882951653944021,0.3786259541984733,0.20966921119592877,postop_A,BalancedRF
0.05,0.95,0.9480916030534349,0.021081236821585737,1.697709923664122,0.30229007633587784,0.25241730279898217,0.049872773536895676,postop_B,BalancedRF
0.1,0.9,0.9038167938931299,0.028670872307385804,1.645801526717557,0.35419847328244275,0.25241730279898217,0.10178117048346057,postop_B,BalancedRF
0.2,0.8,0.8025445292620864,0.050162733965808066,1.414758269720102,0.5852417302798981,0.3801526717557252,0.20508905852417303,postop_B,BalancedRF
