cohort,imputer,auc,auc_sd
eICU pure Set C,median,0.6436781609195402,0.045708049124599984
eICU pure Set C,mean,0.6927301622500647,0.03504189123750715
eICU pure Set C,iterative,0.6752855083712164,0.040845572616809225
eICU pure Set C,indicator+median,0.6998558598514247,0.03510859132731133
BIDMC postop_B,median,0.6390222944798205,0.0929690726767255
BIDMC postop_B,iterative,0.6390222944798205,0.0929690726767255
BIDMC postop_B,indicator+median,0.6324039801893752,0.0895031027434083
