wtp,best_strategy,evpi_per_patient,evpi_population,EV_max_NMB,best_NMB,annual_population,horizon_years
50000,mla,634.9510594658786,223149966.74118987,318439.482896926,317804.5318374601,40000,10
100000,mlg,540.6015439660987,189991361.94488636,642880.5694562647,642339.9679122986,40000,10
150000,mlg,437.28472074854653,153681247.4548087,967360.5631045249,966923.2783837763,40000,10
