cohort,spec,n,events,auc,lo,hi,n_features
BIDMC,postop_A (with aed_timing+prop_aed+ab_eeg),655,48,0.6757619439868204,0.5842536957577942,0.7552824240635542,21
BIDMC,postop_B (no AED-timing leakage),655,48,0.6427100494233937,0.5575486630295683,0.7209547781591451,18
BIDMC,postop_strict (no postop_gcs),655,48,0.6502265238879736,0.5670079824680055,0.7282543920544811,17
eICU full,"Set C (103 features, original)",5369,461,0.7579139463304853,0.7326808140700249,0.7792373489841395,103
eICU full,Set C strict (pre-seizure features only),5369,461,0.734749764429052,0.708402462279756,0.7569850286112184,22
eICU late (sz>=24h or sz=0),Set C original,4984,76,0.7190435593874662,0.6702604779817358,0.7719200750960578,103
