model,n_features,min_samples_leaf,auc_mean,auc_sd
RF_prod,103,2.0,0.6501940348153897,0.05117886435167635
RF_regularized,103,10.0,0.6550097941383005,0.04003935710044042
LR-elastic-net,103,,0.6147318623646376,0.051375530094797256
SelectKBest_20+RF,20,2.0,0.6234985401190081,0.04435324801447269
SelectKBest_50+RF,50,2.0,0.6457016668514618,0.05105020873158943
