threshold,n,events,tp,fn,fp,tn,sens,sens_lo,sens_hi,spec,spec_lo,spec_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
0.06,655,48,48,0,607,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0733,0.055,0.0947,0.0,,
0.073,655,48,25,23,171,436,0.5208,0.3888,0.6605,0.7183,0.6828,0.7533,0.1276,0.0842,0.1744,0.9499,0.9295,0.9682
0.08,655,48,12,36,77,530,0.25,0.1296,0.375,0.8731,0.8452,0.8984,0.1348,0.064,0.21,0.9364,0.9159,0.9563
0.09,655,48,7,41,30,577,0.1458,0.0526,0.2542,0.9506,0.9332,0.9668,0.1892,0.0667,0.3235,0.9337,0.9129,0.952
0.1,655,48,2,46,18,589,0.0417,0.0,0.1111,0.9703,0.9567,0.9834,0.1,0.0,0.25,0.9276,0.9062,0.9478
