scenario,comparison,wtp,dc_mean,dc_lo,dc_hi,dq_mean,dq_lo,dq_hi,nmb_mean,p_ce
with_escalation,mla_obs,50000,-1808.5577128443442,-4653.94296134603,214.30231235549613,0.01888326966114187,0.005094493525680921,0.04225057698824836,2752.721195901438,0.9837
with_escalation,mla_obs,100000,-1808.5577128443442,-4653.94296134603,214.30231235549613,0.01888326966114187,0.005094493525680921,0.04225057698824836,3696.8846789585314,0.9922
with_escalation,mla_obs,150000,-1808.5577128443442,-4653.94296134603,214.30231235549613,0.01888326966114187,0.005094493525680921,0.04225057698824836,4641.048162015625,0.9947
with_escalation,mla_aed,50000,-385.83179245665127,-1429.055271859833,942.9746188900016,-0.002133568236197044,-0.011518648758791982,0.002191258788797645,279.1533806467991,0.7193
with_escalation,mla_aed,100000,-385.83179245665127,-1429.055271859833,942.9746188900016,-0.002133568236197044,-0.011518648758791982,0.002191258788797645,172.47496883694694,0.66
with_escalation,mla_aed,150000,-385.83179245665127,-1429.055271859833,942.9746188900016,-0.002133568236197044,-0.011518648758791982,0.002191258788797645,65.79655702709476,0.6124
with_escalation,mlg_obs,50000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,2805.688184858202,0.9083
with_escalation,mlg_obs,100000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,4233.057969627718,0.9593
with_escalation,mlg_obs,150000,-1378.3184000886865,-5352.448652063962,2155.0349592253597,0.028547395695390314,0.011129033229538732,0.05782777976917015,5660.427754397234,0.9811
with_escalation,mlg_aed,50000,44.4075202990065,-2929.374348778705,3299.481245167484,0.0075305577980514,-0.004013792880677779,0.018884916557975015,332.1203696035636,0.591
with_escalation,mlg_aed,100000,44.4075202990065,-2929.374348778705,3299.481245167484,0.0075305577980514,-0.004013792880677779,0.018884916557975015,708.6482595061335,0.6604
with_escalation,mlg_aed,150000,44.4075202990065,-2929.374348778705,3299.481245167484,0.0075305577980514,-0.004013792880677779,0.018884916557975015,1085.1761494087034,0.7076
with_escalation,mlg_mla,50000,430.2393127556578,-1997.0147854752568,3158.388510850447,0.009664126034248445,0.003830241242433852,0.019489304477663394,52.96698895676439,0.5243
with_escalation,mlg_mla,100000,430.2393127556578,-1997.0147854752568,3158.388510850447,0.009664126034248445,0.003830241242433852,0.019489304477663394,536.1732906691866,0.6477
with_escalation,mlg_mla,150000,430.2393127556578,-1997.0147854752568,3158.388510850447,0.009664126034248445,0.003830241242433852,0.019489304477663394,1019.3795923816089,0.7429
with_escalation,aed_obs,50000,-1422.7259203876931,-4611.696377555016,1116.1079346231943,0.021016837897338915,0.005145911567080752,0.047707285754026586,2473.567815254639,0.9325
with_escalation,aed_obs,100000,-1422.7259203876931,-4611.696377555016,1116.1079346231943,0.021016837897338915,0.005145911567080752,0.047707285754026586,3524.409710121585,0.9633
with_escalation,aed_obs,150000,-1422.7259203876931,-4611.696377555016,1116.1079346231943,0.021016837897338915,0.005145911567080752,0.047707285754026586,4575.25160498853,0.9764
