wtp,comparison,p_ce
160000,ML+cEEG vs Univ AED,0.6936
160000,ML+cEEG vs ML-AED,0.7365
165000,ML-AED vs Obs,0.9965
165000,ML+cEEG vs Obs,0.9848
165000,ML+cEEG vs Univ AED,0.6984
165000,ML+cEEG vs ML-AED,0.7445
170000,ML-AED vs Obs,0.9966
170000,ML+cEEG vs Obs,0.9857
170000,ML+cEEG vs Univ AED,0.7025
170000,ML+cEEG vs ML-AED,0.7523
175000,ML-AED vs Obs,0.9967
175000,ML+cEEG vs Obs,0.9867
175000,ML+cEEG vs Univ AED,0.7055
175000,ML+cEEG vs ML-AED,0.7595
180000,ML-AED vs Obs,0.9972
180000,ML+cEEG vs Obs,0.9873
180000,ML+cEEG vs Univ AED,0.7095
180000,ML+cEEG vs ML-AED,0.7678
185000,ML-AED vs Obs,0.9973
185000,ML+cEEG vs Obs,0.988
185000,ML+cEEG vs Univ AED,0.7137
185000,ML+cEEG vs ML-AED,0.7748
190000,ML-AED vs Obs,0.9975
190000,ML+cEEG vs Obs,0.9888
190000,ML+cEEG vs Univ AED,0.7172
190000,ML+cEEG vs ML-AED,0.7808
195000,ML-AED vs Obs,0.9975
195000,ML+cEEG vs Obs,0.9893
195000,ML+cEEG vs Univ AED,0.7208
195000,ML+cEEG vs ML-AED,0.7876
200000,ML-AED vs Obs,0.9977
200000,ML+cEEG vs Obs,0.99
200000,ML+cEEG vs Univ AED,0.7243
200000,ML+cEEG vs ML-AED,0.7941
205000,ML-AED vs Obs,0.9978
205000,ML+cEEG vs Obs,0.9905
205000,ML+cEEG vs Univ AED,0.7283
205000,ML+cEEG vs ML-AED,0.8007
210000,ML-AED vs Obs,0.9979
210000,ML+cEEG vs Obs,0.9913
210000,ML+cEEG vs Univ AED,0.7313
210000,ML+cEEG vs ML-AED,0.8069
215000,ML-AED vs Obs,0.998
215000,ML+cEEG vs Obs,0.9914
215000,ML+cEEG vs Univ AED,0.7349
215000,ML+cEEG vs ML-AED,0.8134
220000,ML-AED vs Obs,0.9981
220000,ML+cEEG vs Obs,0.9922
220000,ML+cEEG vs Univ AED,0.7386
220000,ML+cEEG vs ML-AED,0.818
225000,ML-AED vs Obs,0.9985
225000,ML+cEEG vs Obs,0.9928
225000,ML+cEEG vs Univ AED,0.7427
225000,ML+cEEG vs ML-AED,0.824
230000,ML-AED vs Obs,0.9985
230000,ML+cEEG vs Obs,0.9933
