method,auc_mean,auc_sd,prauc
L2 LR,0.4983122771281469,0.04957330131042327,0.06734352753563955
L1 LR,0.49763255512562865,0.0493116230652379,0.06691976449089793
"Group LASSO (α=1, λ tuned, med=0.023)",0.4773395171327125,0.02704406391589267,0.05781694363330941
"Sparse-group LASSO (α=0.5, λ tuned, med=0.023)",0.47924504444583016,0.02581427135827876,0.05816262538232852
