parameter,kwarg,base,low_val,high_val,incr_NMB_low,incr_NMB_high,swing,ml_wins_low,ml_wins_high
AED efficacy (RRR),aed_rrr,0.15,0.0,0.45,3263.7,-1032.6,4296.2,True,False
AED disutility,utility_aed_decrement,0.02,0.02,0.15,1831.6,3939.9,2108.4,True,True
AED adverse-event cost,cost_aed_adverse,1507.0,700.0,2500.0,1024.6,2824.6,1800.0,True,True
cEEG rescue rate,ceeg_rescue,0.2,0.05,0.4,1211.6,2658.3,1446.7,True,True
cEEG cost/day,cost_ceeg,1500.0,900.0,2200.0,2414.8,1151.2,1263.6,True,True
Baseline seizure risk,p_seizure_base,0.12,0.07,0.18,1312.3,2454.8,1142.5,True,True
cEEG detection prob.,p_detect_ceeg,0.95,0.85,0.99,1649.1,1904.6,255.5,True,True
Status epilepticus cost,cost_se_early,13200.0,8000.0,20000.0,1851.7,1805.2,46.5,True,True
