,L2_norm
comorbidity,0.1860775890618202
division,0.11912856616006604
procedure,0.09670837769248858
race,0.0763330308300079
payer,0.05844001599757085
antithrombotic,0.056850405457243326
admission,0.049062801887218906
income,0.03441474948562167
severity,0.001800380436323982
demographics,0.0007642312139211645
sdh_subtype,0.0
