p_sz,sens,spec,p_se,rrr,pe_d,pe_u,pd_ceeg,pd_clin,c_aed_d,c_aed_a,c_aed_c,aed_d,c_aed_ac,c_aed_cc,aed_dc,c_se_e,c_se_l,icu_red,c_ceeg,c_hosp,c_icu,c_szwu,c_epi,u_dec,p_rec,pd_b,pd_e,ceeg_d,cost_obs,qaly_obs,cost_aed,qaly_aed,cost_mla,qaly_mla,cost_mlg,qaly_mlg
0.11753251342751775,0.7942572466321892,0.48312497416950684,0.09401579549740162,0.41739384200176144,0.0237942481988368,0.09205061661016964,0.9749567406104289,0.34852167663891104,157.80776782353158,1847.8482901131467,274.0098107397585,102.21953894789131,1345.3647914632231,145.03427004948443,11.891336926325843,15660.28448247095,36979.55615237659,1.1461984543516022,1293.2053893089883,3027.8857233576173,7410.708287751906,3258.7623628894135,12862.836663995186,0.1330369100986994,0.20763501405907628,0.04155539305285899,0.007404885010793244,3.0,6999.444282977932,6.036021988799105,6357.585210504944,6.048092657879853,5981.624648318851,6.046980239687961,6015.692071933691,6.055197269432665
0.12646213143881255,0.8511607204689875,0.5150423902111124,0.11235682618538807,0.5532618194531123,0.01886209290507827,0.15928609305842947,0.9675553463247171,0.16106904313490147,132.64672336471907,1207.0538253761742,427.215322333354,82.88373976481093,890.6002516064235,145.10173019250382,18.545142431647484,14253.512370077618,23617.208452567622,1.4101441420521565,1261.500507799717,3914.058635566851,2985.4734634244323,2669.642698884757,26623.35908357134,0.19067396824624744,0.07080769967974902,0.01654045836764303,0.020942335735994688,4.0,11463.54432460645,6.666781000145204,6888.118805267533,6.702006503219126,7053.899088130083,6.698216379453809,6932.015358751832,6.710459016167925
0.11282177453508939,0.8802205139864444,0.5327156309949442,0.13021825992049924,0.4282330648769875,0.01351296290346762,0.09386096304308182,0.9389700795702677,0.38729838678527606,294.0924029369612,1271.6594467340767,281.1230943343038,96.40491285356482,1102.7825333034662,126.20904407160766,15.037961049959934,13156.03635180275,17565.653017278553,1.1331149227714636,925.1613809842386,3226.182252376872,3142.53287083752,2053.652487240733,19944.27570451424,0.1933434885570455,0.13315119244628132,0.024250183264483714,0.07721602196461393,3.0,6512.020540201769,6.421871264913716,5570.232969734612,6.461157824043532,5056.440939516617,6.458387318967532,4834.977874573193,6.4749892977650685
0.0839612219569386,0.8408400703373218,0.4654515624341986,0.03977218616368967,0.2122486106729538,0.021104668209670073,0.09986978822621964,0.9650258636700607,0.28921285242743044,203.62451954026392,1477.944553211685,326.4752503047766,33.23883141723155,2718.041883537575,226.6998034368779,8.723894197465789,8895.906175421911,36705.4222775686,0.4189357698958506,1948.9536312326027,2737.3443836522874,5250.122112106308,2192.1608594474574,13243.047121728581,0.17863582161838365,0.016270483231970417,0.01629812030009457,0.003872191502916938,4.0,4425.638011479071,6.717228589062042,5494.34681525795,6.7214043375810295,4810.844135154655,6.721250738647707,8404.00218346999,6.727536780018179
0.09805650307597748,0.7886056409586827,0.5215913422921086,0.12032458225142736,0.40318991703229123,0.03829331638453156,0.08771295547232917,0.9848761894704522,0.2886208357781492,211.28160535008735,1664.435370892786,187.1734772809909,26.691760381119018,726.7649868581664,152.88938491665468,34.10124956496451,16275.815989489838,36396.533478522135,0.6246419290922108,1060.9010278807698,3348.363629018108,6482.09035844027,2317.7085459349364,11094.562375877746,0.16704522408640884,0.15914886126712377,0.029111449409257837,0.0020068405914928076,3.0,6263.572484890814,6.361733574411908,5801.053667905809,6.374140334074645,5371.671732515687,6.37192681094585,5080.635060085229,6.375905323922993
0.08046724972007856,0.8423779874925708,0.45912483151894407,0.12855820381593983,0.4693722890463909,0.024555554920018454,0.13952585002150222,0.9871284283602363,0.2560059312158481,254.8183807733386,1418.037330806237,409.7300032751746,80.78125552509826,950.2572338244681,73.87573812903707,16.476556296123007,16228.801850587059,22153.661602804314,1.0395707639130394,1690.0992057364506,2330.3011358755984,4009.994759543158,1667.4708056367222,16647.262848768663,0.1358619724937956,0.17746865841597126,0.03679728411302624,0.012551713380055902,2.0,4433.8220191486225,6.162400829525065,4435.294543651292,6.17442592834079,3907.6828032750677,6.173757682526956,4229.121253284333,6.181207766780929
0.13442757140267958,0.8823370927162081,0.4647455106320388,0.18336921579653034,0.4033459353205485,0.02644180536421215,0.20639656844372797,0.9670534431340533,0.29460919271272845,214.53352870477337,1686.072229697326,577.0146918362803,15.5563814173675,620.3409029462972,212.45984675469262,28.02941427807783,7743.902369233762,28963.51894017821,1.2265258696255026,1186.9166390262558,2477.708136942958,4998.450285641815,3091.3127417203596,17978.012185817108,0.1754456435825357,0.3217642416872037,0.020018095474424596,0.015908424257781977,2.0,9990.802188174981,6.549726293565977,8438.673185221342,6.585953816581856,7926.961745617389,6.581947264622816,5126.9990602254275,6.60023419056799
0.12105399874246522,0.9324458207153493,0.45766671934562,0.08698829954405712,0.4753778196746912,0.032222336632386044,0.10255852239213534,0.9571965904891283,0.2568106528443668,188.04022808691624,1737.813083197389,244.6775837098622,43.47034329968626,929.9996702217779,74.72463882344196,23.71270557697065,11827.010223445142,15380.664954280941,1.2384062048858127,979.6740789150233,5036.56961021078,3715.011224254551,3915.781475948745,15701.12744571642,0.1624975306902903,0.1452132466005098,0.01471636049924231,0.02141148983656924,4.0,10704.996412272436,6.7272880729095474,7786.6094531751405,6.754832920552143,7289.510001619468,6.753788888119284,6715.729556460008,6.763371257596518
0.1301145698188793,0.8461488443387544,0.5452199432801135,0.08988543610960838,0.49659082456925235,0.02004993988887278,0.02807923422282381,0.9539819570615735,0.19145235426575014,232.50405309302923,1537.7361833959408,403.44853459115745,119.74348394986923,815.2662359468222,142.25245265994445,24.39208086456223,12122.198096063737,24280.430020467727,0.3212025371998946,1058.6252007575115,4366.889653680519,2755.2358278760757,1772.3801257099774,14047.817997175338,0.09880140957750157,0.30025487368306275,0.02968363049875675,0.02082894874515852,4.0,9343.72644822271,6.325934587243202,6877.406397830391,6.346751630314932,6566.8289270270725,6.3457826680645395,6600.68898152605,6.353317210890905
0.1030309612513243,0.8594033614084629,0.4581936754215463,0.08609110605383256,0.31198748268558396,0.018192150046730242,0.10636814079528639,0.9268060405716013,0.30879106259709177,195.2360362990859,933.0329493637307,533.0615122544892,103.16759285878538,1214.2795672530642,50.56034566554348,30.91404251805845,19456.278124762004,42190.26225531063,0.8529235262874795,1675.4950105470077,3849.1056390726776,5272.623534010741,3079.2417860430287,7865.13202241361,0.08624583631086287,0.33464932788256335,0.03621707003703703,0.007948808615977347,4.0,7189.473507861667,6.173999381804326,6607.7782642265165,6.180256628649273,6266.291618293669,6.180987282856958,8068.10405894086,6.190504162712644
