wtp,best_strategy,EV_max_NMB,EV_NMB_obs,EV_NMB_aed,EV_NMB_mla,EV_NMB_mlg,p_best_obs,p_best_aed,p_best_mla,p_best_mlg
50000,mlg,315589.6966331051,314857.0789743901,314183.9628734449,314885.30901976547,315589.6966331051,0.2073,0.0969,0.0543,0.6415
100000,mlg,639214.7261270867,637921.3116665531,637486.370197735,638101.4908058397,639214.7261270867,0.1182,0.1035,0.0306,0.7477
150000,mlg,962839.755621068,960985.5443587162,960788.7775220253,961317.6725919138,962839.755621068,0.0679,0.106,0.0172,0.8089
