feature_set,auc,ci_lo,ci_hi,brier,delong_z,delong_p
postop_A baseline (21 features),0.6757619439868204,0.595262771721743,0.7599972289873755,0.2278946819301233,,
postop_A + eICU transfer (22 features),0.6834157056562329,0.5976532584125382,0.77279518135669,0.22863754933937352,1.1853329621645248,0.23588582575772388
postop_B baseline (18 features),0.6583264689730917,0.5679492901729739,0.7509302410655342,0.22814953323283962,,
postop_B + eICU transfer (19 features),0.6680395387149919,0.5803988223086542,0.7590046417482257,0.2299902517352634,1.2601995801847536,0.20759737427474034
